common name,scientific name,extinct,forefront recs,background recs,africa,americas,asia,australasia,europe
Bartlett's Tinamou ,Crypturellus bartletti ,False,40,83,False,True,False,False,False
Small-billed Tinamou ,Crypturellus parvirostris ,False,73,48,False,True,False,False,False
Barred Tinamou ,Crypturellus casiquiare ,False,3,0,False,True,False,False,False
Tataupa Tinamou ,Crypturellus tataupa ,False,101,84,False,True,False,False,False
Red-winged Tinamou ,Rhynchotus rufescens ,False,63,125,False,True,False,False,False
Huayco Tinamou ,Rhynchotus maculicollis ,False,10,6,False,True,False,False,False
Taczanowski's Tinamou ,Nothoprocta taczanowskii ,False,7,1,False,True,False,False,False
Ornate Tinamou ,Nothoprocta ornata ,False,12,0,False,True,False,False,False
Chilean Tinamou ,Nothoprocta perdicaria ,False,10,1,False,True,False,False,False
Brushland Tinamou ,Nothoprocta cinerascens ,False,22,4,False,True,False,False,False
Andean Tinamou ,Nothoprocta pentlandii ,False,35,3,False,True,False,False,False
Curve-billed Tinamou ,Nothoprocta curvirostris ,False,5,0,False,True,False,False,False
White-bellied Nothura ,Nothura boraquira ,False,24,7,False,True,False,False,False
Lesser Nothura ,Nothura minor ,False,8,0,False,True,False,False,False
Darwin's Nothura ,Nothura darwinii ,False,19,7,False,True,False,False,False
Spotted Nothura ,Nothura maculosa ,False,66,23,False,True,False,False,False
Dwarf Tinamou ,Taoniscus nanus ,False,38,1,False,True,False,False,False
Elegant Crested Tinamou ,Eudromia elegans ,False,14,1,False,True,False,False,False
Quebracho Crested Tinamou ,Eudromia formosa ,False,8,0,False,True,False,False,False
Puna Tinamou ,Tinamotis pentlandii ,False,11,0,False,True,False,False,False
Patagonian Tinamou ,Tinamotis ingoufi ,False,1,0,False,True,False,False,False
Horned Screamer ,Anhima cornuta ,False,71,26,False,True,False,False,False
Northern Screamer ,Chauna chavaria ,False,13,1,False,True,False,False,False
Southern Screamer ,Chauna torquata ,False,79,43,False,True,False,False,False
Magpie Goose ,Anseranas semipalmata ,False,14,12,False,False,False,True,False
White-faced Whistling Duck ,Dendrocygna viduata ,False,113,33,True,True,False,False,True
Black-bellied Whistling Duck ,Dendrocygna autumnalis ,False,181,68,True,True,False,False,False
Spotted Whistling Duck ,Dendrocygna guttata ,False,6,2,False,False,True,True,False
West Indian Whistling Duck ,Dendrocygna arborea ,False,10,2,False,True,False,False,False
Fulvous Whistling Duck ,Dendrocygna bicolor ,False,51,7,True,True,True,False,False
Plumed Whistling Duck ,Dendrocygna eytoni ,False,11,5,False,False,True,True,False
Wandering Whistling Duck ,Dendrocygna arcuata ,False,19,6,False,False,True,True,False
