Common name 	Scientific name 	Status 	No. 	No. Back
Swallow-tailed Kite 	Elanoides forficatus 		85 	3
Crested Eagle 	Morphnus guianensis 		11 	0
Harpy Eagle 	Harpia harpyja 		54 	1
Black Hawk-Eagle 	Spizaetus tyrannus 		143 	21
Black-and-white Hawk-Eagle 	Spizaetus melanoleucus 		17 	0
Ornate Hawk-Eagle 	Spizaetus ornatus 		74 	8
Black-and-chestnut Eagle 	Spizaetus isidori 		14 	0
Crowned Eagle 	Stephanoaetus coronatus 		48 	3
Booted Eagle 	Hieraaetus pennatus 		40 	28
Golden Eagle 	Aquila chrysaetos 		57 	1
Double-toothed Kite 	Harpagus bidentatus 		35 	1
Rufous-thighed Kite 	Harpagus diodon 		27 	1
Tiny Hawk 	Accipiter superciliosus 		21 	1
Semicollared Hawk 	Accipiter collaris 		4 	0
Grey-bellied Hawk 	Accipiter poliogaster 		24 	0
Sharp-shinned Hawk 	Accipiter striatus 		24 	5
White-breasted Hawk 	Accipiter chionogaster 		8 	0
Cooper's Hawk 	Accipiter cooperii 		129 	19
Bicolored Hawk 	Accipiter bicolor 		44 	0
Northern Goshawk 	Accipiter gentilis 		337 	49
Western Marsh Harrier 	Circus aeruginosus 		169 	45
Long-winged Harrier 	Circus buffoni 		15 	0
Black Harrier 	Circus maurus 		2 	0
Northern Harrier 	Circus hudsonius 		37 	6
Cinereous Harrier 	Circus cinereus 		8 	0
White-tailed Eagle 	Haliaeetus albicilla 		82 	21
Bald Eagle 	Haliaeetus leucocephalus 		78 	19
Steller's Sea Eagle 	Haliaeetus pelagicus 		31 	5
Mississippi Kite 	Ictinia mississippiensis 		23 	1
Plumbeous Kite 	Ictinia plumbea 		42 	6
Black-collared Hawk 	Busarellus nigricollis 		56 	5
Snail Kite 	Rostrhamus sociabilis 		92 	12
Slender-billed Kite 	Helicolestes hamatus 		27 	2
Crane Hawk 	Geranospiza caerulescens 		55 	1
Plumbeous Hawk 	Cryptoleucopteryx plumbea 		27 	1
Slate-colored Hawk 	Buteogallus schistaceus 		42 	1
Common Black Hawk 	Buteogallus anthracinus 		62 	8
